ping_time,busId,lat,lng,bearing,direction,plateNumber,stopId
2025-11-12T06:02:08.558466,11541,32.018734,35.864998,317.45,1,58-11541,10622
2025-11-12T06:02:08.558466,11526,31.945465,35.921852,84.14,1,58-11526,10636
2025-11-12T06:02:08.558466,93341,31.94532,35.92853,29.3,1,58-93341,10643
2025-11-12T06:02:08.558466,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:02:08.558466,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:05:29.716460,47376,32.0225,35.860325,133.93,0,58-47376,10616
2025-11-12T06:05:29.716460,11514,32.00042,36.01427,0,0,58-11514,10625
2025-11-12T06:05:29.716460,11364,31.995218,35.88622,307.62,1,58-11364,10622
2025-11-12T06:05:29.716460,11535,31.945599,35.906666,0,1,58-11535,10634
2025-11-12T06:05:29.716460,11541,32.021038,35.84244,317.17,1,58-11541,10642
2025-11-12T06:05:29.716460,11526,31.945465,35.921852,84.14,1,58-11526,10636
2025-11-12T06:05:29.716460,93341,31.945492,35.928658,29,1,58-93341,10643
2025-11-12T06:05:29.716460,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:05:29.716460,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:09:30.783493,37113,32.02469,35.854195,88.7,0,58-37113,10613
2025-11-12T06:09:30.783493,47376,32.00518,35.87322,152.97,0,58-47376,10619
2025-11-12T06:09:30.783493,11514,32.00042,36.01427,0,0,58-11514,10625
2025-11-12T06:09:30.783493,11688,31.945763,35.92243,249.28,1,58-11688,10643
2025-11-12T06:09:30.783493,30702,31.94834,35.903496,325.39,1,58-30702,10634
2025-11-12T06:09:30.783493,11364,32.0161,35.86751,321.2,1,58-11364,10618
2025-11-12T06:09:30.783493,11535,31.956455,35.88211,303.12,1,58-11535,10634
2025-11-12T06:09:30.783493,11541,32.021038,35.84244,317.17,1,58-11541,10642
2025-11-12T06:09:30.783493,11526,31.945465,35.921852,84.14,1,58-11526,10636
2025-11-12T06:09:30.783493,93341,31.945486,35.928658,29,1,58-93341,10643
2025-11-12T06:09:30.783493,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:09:30.783493,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:13:37.387348,11379,32.020817,35.842667,0,0,58-11379,10612
2025-11-12T06:13:37.387348,37113,32.010372,35.871033,164.8,0,58-37113,10617
2025-11-12T06:13:37.387348,47376,31.9922,35.890682,128.03,0,58-47376,10622
2025-11-12T06:13:37.387348,11688,31.939995,35.9078,1.34,1,58-11688,10635
2025-11-12T06:13:37.387348,30702,31.966572,35.886517,63,1,58-30702,10634
2025-11-12T06:13:37.387348,11364,32.0233,35.848625,251.12,1,58-11364,10613
2025-11-12T06:13:37.387348,11535,31.966692,35.886883,52.8,1,58-11535,10629
2025-11-12T06:13:37.387348,11541,32.021038,35.84244,317.17,1,58-11541,10642
2025-11-12T06:13:37.387348,11526,31.945465,35.921852,84.14,1,58-11526,10636
2025-11-12T06:13:37.387348,93341,31.945494,35.92866,29,1,58-93341,10643
2025-11-12T06:13:37.387348,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:13:37.387348,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:17:11.871329,11364,32.020763,35.84274,0,0,58-11364,10612
2025-11-12T06:17:11.871329,94951,31.99974,35.879818,126.7,0,58-94951,10618
2025-11-12T06:17:11.871329,75259,32.02462,35.856323,104.7,0,58-75259,11675
2025-11-12T06:17:11.871329,11379,32.020817,35.842667,0,0,58-11379,10612
2025-11-12T06:17:11.871329,37113,31.99246,35.890278,128.5,0,58-37113,10622
2025-11-12T06:17:11.871329,47376,31.980482,35.89155,223.11,0,58-47376,10625
2025-11-12T06:17:11.871329,11502,31.948011,35.91584,0,1,58-11502,10635
2025-11-12T06:17:11.871329,11688,31.945503,35.92141,96.32,1,58-11688,10635
2025-11-12T06:17:11.871329,30702,31.985252,35.897858,85,1,58-30702,10625
2025-11-12T06:17:11.871329,11535,31.98095,35.892155,0,1,58-11535,10626
2025-11-12T06:17:11.871329,11541,32.021038,35.84244,317.17,1,58-11541,10642
2025-11-12T06:17:11.871329,11526,31.945526,35.928574,0,1,58-11526,10643
2025-11-12T06:17:11.871329,93341,31.948277,35.914413,264.3,1,58-93341,10635
2025-11-12T06:17:11.871329,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:17:11.871329,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:21:20.763858,11499,32.024506,35.856464,105.52,0,58-11499,11675
2025-11-12T06:21:20.763858,11364,32.020763,35.84274,0,0,58-11364,10612
2025-11-12T06:21:20.763858,94951,31.99332,35.889786,127.8,0,58-94951,10618
2025-11-12T06:21:20.763858,75259,32.004993,35.873363,151.8,0,58-75259,10619
2025-11-12T06:21:20.763858,11379,32.020817,35.842667,0,0,58-11379,10612
2025-11-12T06:21:20.763858,37113,31.984194,35.895756,219.2,0,58-37113,10625
2025-11-12T06:21:20.763858,47376,31.965172,35.884613,220.97,0,58-47376,10640
2025-11-12T06:21:20.763858,11502,31.948011,35.91584,0,1,58-11502,10635
2025-11-12T06:21:20.763858,11688,31.945503,35.92141,96.32,1,58-11688,10635
2025-11-12T06:21:20.763858,30702,31.998436,35.880917,311.8,1,58-30702,10620
2025-11-12T06:21:20.763858,11535,31.988554,35.89492,0,1,58-11535,10623
2025-11-12T06:21:20.763858,11541,32.021038,35.84244,317.17,1,58-11541,10642
2025-11-12T06:21:20.763858,11526,31.945587,35.921543,275.2,1,58-11526,10636
2025-11-12T06:21:20.763858,93341,31.951735,35.894665,266.8,1,58-93341,10634
2025-11-12T06:21:20.763858,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:21:20.763858,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:24:59.571722,11532,32.02435,35.85767,292.8,0,58-11532,10616
2025-11-12T06:24:59.571722,42113,32.020813,35.84269,292.7,0,58-42113,10612
2025-11-12T06:24:59.571722,78890,32.024746,35.855038,89.1,0,58-78890,11675
2025-11-12T06:24:59.571722,11499,32.011223,35.870693,162.63,0,58-11499,10618
2025-11-12T06:24:59.571722,11364,32.020763,35.84274,0,0,58-11364,10612
2025-11-12T06:24:59.571722,94951,31.985266,35.89594,226.6,0,58-94951,10623
2025-11-12T06:24:59.571722,75259,31.992199,35.890682,126.9,0,58-75259,10622
2025-11-12T06:24:59.571722,11379,32.020817,35.842667,0,0,58-11379,10612
2025-11-12T06:24:59.571722,37113,31.969381,35.8864,169.8,0,58-37113,10627
2025-11-12T06:24:59.571722,47376,31.955288,35.884148,0,0,58-47376,10631
2025-11-12T06:24:59.571722,11514,32.00042,36.01427,0,0,58-11514,10625
2025-11-12T06:24:59.571722,73439,31.94609,35.92375,251.4,1,58-73439,10636
2025-11-12T06:24:59.571722,11502,31.948011,35.91584,0,1,58-11502,10635
2025-11-12T06:24:59.571722,11688,31.945503,35.92141,96.32,1,58-11688,10635
2025-11-12T06:24:59.571722,30702,32.018475,35.865097,318.2,1,58-30702,10615
2025-11-12T06:24:59.571722,11535,31.998875,35.88029,307.12,1,58-11535,10620
2025-11-12T06:24:59.571722,11541,32.021038,35.84244,317.17,1,58-11541,10642
2025-11-12T06:24:59.571722,11526,31.945951,35.907883,241.43,1,58-11526,10635
2025-11-12T06:24:59.571722,93341,31.958979,35.879654,32.5,1,58-93341,10630
2025-11-12T06:24:59.571722,63779,31.945639,35.9205,105.31,1,58-63779,10643
2025-11-12T06:24:59.571722,11670,31.946218,35.91846,123.77,1,58-11670,10635
2025-11-12T06:29:04.954386,11721,31.947432,35.91651,124.58,0,58-11721,10635
2025-11-12T06:29:04.954386,11532,32.02181,35.84391,0,0,58-11532,10616
2025-11-12T06:29:04.954386,42113,32.020813,35.84269,292.7,0,58-42113,10612
