ping_time,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-18T11:06:31.001886,11502,31.944937,35.92846,0,0,58-11502,10620,N/A
2025-11-18T11:06:31.001886,88302,32.020782,35.8427,290,0,58-88302,10612,N/A
2025-11-18T11:06:31.001886,11490,32.02082,35.84275,0,0,58-11490,10612,N/A
2025-11-18T11:06:31.001886,84113,32.02081,35.842693,289.39,0,58-84113,10612,N/A
2025-11-18T11:06:31.001886,47376,32.02084,35.84265,0,0,58-47376,10612,N/A
2025-11-18T11:06:31.001886,11535,32.021126,35.842278,0,0,58-11535,10612,N/A
2025-11-18T11:06:31.001886,24926,32.020847,35.842518,281.89,0,58-24926,10612,N/A
2025-11-18T11:06:31.001886,11364,32.020836,35.84276,285.29,0,58-11364,10612,N/A
2025-11-18T11:06:31.001886,11541,32.02077,35.842754,0,0,58-11541,10612,N/A
2025-11-18T11:06:31.001886,10996,32.020847,35.84265,293.2,0,58-10996,10612,N/A
2025-11-18T11:06:31.001886,11499,32.020836,35.84276,286.64,0,58-11499,10612,N/A
2025-11-18T11:06:31.001886,66163,32.022552,35.86029,135,0,58-66163,10616,N/A
2025-11-18T11:06:31.001886,11718,32.012894,35.869923,152.47,0,58-11718,10617,N/A
2025-11-18T11:06:31.001886,11682,31.992434,35.89031,0,0,58-11682,10622,N/A
2025-11-18T11:06:31.001886,11532,31.967,35.88697,0,0,58-11532,10640,N/A
2025-11-18T11:06:31.001886,11721,31.964169,35.883625,216.79,0,58-11721,10629,N/A
2025-11-18T11:06:31.001886,78890,31.985964,35.89732,138.4,0,58-78890,10622,N/A
2025-11-18T11:06:31.001886,75259,31.945347,35.92876,181.3,0,58-75259,10636,N/A
2025-11-18T11:06:31.001886,37113,31.946114,35.927692,101,0,58-37113,10635,N/A
2025-11-18T11:06:31.001886,55857,31.945293,35.92877,195.9,0,58-55857,10635,N/A
2025-11-18T11:06:31.001886,42113,31.953222,35.889748,116.7,0,58-42113,10632,N/A
2025-11-18T11:06:31.001886,10984,31.945322,35.928673,0,0,58-10984,10636,N/A
2025-11-18T11:06:31.001886,11649,31.945366,35.92869,0,0,58-11649,10635,N/A
2025-11-18T11:06:31.001886,45556,31.946032,35.92808,112.4,0,58-45556,10635,N/A
2025-11-18T11:06:31.001886,73439,31.945341,35.928734,208.9,0,58-73439,10635,N/A
2025-11-18T11:06:31.001886,11670,31.94533,35.92867,0,0,58-11670,10635,N/A
2025-11-18T11:06:31.001886,10978,31.945353,35.92863,193.1,0,58-10978,10635,N/A
2025-11-18T11:06:31.001886,11017,31.94547,35.92859,0,1,58-11017,10643,N/A
2025-11-18T11:06:31.001886,56867,31.946194,35.927437,282.5,1,58-56867,10643,N/A
2025-11-18T11:06:31.001886,46750,31.959333,35.87997,34.5,1,58-46750,10630,N/A
2025-11-18T11:06:31.001886,11652,31.945572,35.907238,0,1,58-11652,10635,N/A
2025-11-18T11:06:31.001886,63779,31.978815,35.889977,44.17,1,58-63779,10627,N/A
2025-11-18T11:06:31.001886,11547,31.945108,35.92853,0,1,58-11547,10643,N/A
2025-11-18T11:06:31.001886,10993,31.984272,35.896362,48.7,1,58-10993,10627,N/A
