ping_time,route,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-23T06:18:10.016475,98,11924,31.98942,35.9439,132.8,0,58-11924,11649,N/A
2025-11-23T06:18:10.016475,98,82779,31.989656,35.942493,113.9,0,58-82779,11648,N/A
2025-11-23T06:18:10.016475,98,80072,31.989662,35.942204,108.7,0,58-80072,11648,N/A
2025-11-23T06:18:10.016475,99,75259,32.023727,35.858715,124.8,0,58-75259,11675,N/A
2025-11-23T06:18:10.016475,99,37113,31.992073,35.890842,127.6,0,58-37113,10622,N/A
2025-11-23T06:18:10.016475,99,47376,31.954945,35.88496,110.37,0,58-47376,10630,N/A
2025-11-23T06:18:10.016475,99,42113,32.020786,35.842712,286.2,0,58-42113,10612,N/A
2025-11-23T06:18:10.016475,99,46750,32.018135,35.86543,138.19,0,58-46750,11671,N/A
2025-11-23T06:18:10.016475,99,93341,32.023357,35.8491,71.5,0,58-93341,10613,N/A
2025-11-23T06:18:10.016475,99,97202,32.00025,36.015663,0,0,58-97202,10625,N/A
2025-11-23T06:18:10.016475,99,73439,31.94609,35.92377,251.2,1,58-73439,10636,N/A
2025-11-23T06:18:10.016475,99,10978,31.94538,35.928555,0,1,58-10978,10643,N/A
2025-11-23T06:18:10.016475,99,11547,31.948135,35.914783,91.05,1,58-11547,10636,N/A
2025-11-23T06:18:10.016475,99,11550,32.02151,35.843803,175.36,1,58-11550,10618,N/A
2025-11-23T06:18:10.016475,99,11649,31.94807,35.912518,0,1,58-11649,10635,N/A
2025-11-23T06:18:10.016475,99,11535,31.977184,35.888386,0,1,58-11535,10627,N/A
2025-11-23T06:18:10.016475,99,11688,31.945688,35.92032,105.91,1,58-11688,10643,N/A
2025-11-23T06:18:10.016475,99,11526,31.945568,35.90723,0,1,58-11526,10635,N/A
2025-11-23T06:18:10.016475,99,11490,31.966179,35.885834,53.04,1,58-11490,10629,N/A
2025-11-23T06:18:10.016475,99,45556,31.945503,35.928753,143.9,1,58-45556,10643,N/A
2025-11-23T06:18:10.016475,100,11739,32.023144,35.848473,71,0,58-11739,10613,N/A
2025-11-23T06:18:10.016475,100,50252,32.020786,35.842693,292,0,58-50252,10612,N/A
2025-11-23T06:18:10.016475,100,10990,32.021442,35.84262,196.67,0,58-10990,10612,N/A
2025-11-23T06:18:10.016475,100,11715,32.021088,35.842636,0,0,58-11715,10612,N/A
2025-11-23T06:18:10.016475,100,11026,32.02138,35.841778,0,0,58-11026,10612,N/A
2025-11-23T06:18:10.016475,100,29502,31.98981,35.893505,137.69,0,58-29502,10622,N/A
2025-11-23T06:18:10.016475,100,48886,31.993374,35.919598,78.2,0,58-48886,11646,N/A
2025-11-23T06:18:10.016475,100,11508,31.989626,35.94355,114.16,0,58-11508,11649,N/A
2025-11-23T06:18:10.016475,100,10981,31.968325,35.945843,286.3,1,58-10981,11652,N/A
2025-11-23T06:18:10.016475,100,98191,31.961329,35.95839,117.5,1,58-98191,11653,N/A
2025-11-23T06:18:10.016475,100,30732,31.989704,35.943382,312.6,1,58-30732,11649,N/A
2025-11-23T06:18:10.016475,100,15417,31.9898,35.94338,285.39,1,58-15417,11649,N/A
2025-11-23T06:18:10.016475,100,25856,32.02298,35.84719,258.7,1,58-25856,10616,N/A
2025-11-23T06:18:10.016475,100,49451,31.961117,35.958538,182.6,1,58-49451,11653,N/A
2025-11-23T06:18:10.016475,100,46548,32.021606,35.843777,169,1,58-46548,10615,N/A
2025-11-23T06:18:10.016475,100,11529,31.992668,35.89002,0,1,58-11529,10622,N/A
2025-11-23T06:18:10.016475,100,11724,31.961014,35.95846,0,1,58-11724,11653,N/A
2025-11-23T06:18:10.016475,100,11505,31.999573,36.015644,0,1,58-11505,11653,N/A
2025-11-23T06:18:10.016475,100,21423,31.961218,35.95848,167.7,1,58-21423,11653,N/A
2025-11-23T06:18:10.016475,100,11712,31.98628,35.897594,305.97,1,58-11712,11645,N/A
2025-11-23T06:31:05.355606,98,11496,31.989283,35.943527,193.1,0,58-11496,11649,N/A
2025-11-23T06:31:05.355606,98,25354,31.98926,35.944305,201.1,0,58-25354,11649,N/A
2025-11-23T06:31:05.355606,98,11924,31.989244,35.944347,202.6,0,58-11924,11649,N/A
2025-11-23T06:31:05.355606,98,82779,31.989655,35.942493,113.9,0,58-82779,11648,N/A
2025-11-23T06:31:05.355606,98,80072,31.989664,35.942204,108.7,0,58-80072,11648,N/A
2025-11-23T06:31:05.355606,99,11502,31.946478,35.91803,125.05,0,58-11502,10635,N/A
2025-11-23T06:31:05.355606,99,84113,32.020813,35.842648,299.89,0,58-84113,10612,N/A
2025-11-23T06:31:05.355606,99,11718,32.016914,35.86649,142.15,0,58-11718,11675,N/A
2025-11-23T06:31:05.355606,99,11652,32.018196,35.865314,0,0,58-11652,11671,N/A
