ping_time,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-16T06:00:56.888187,37113,32.020824,35.842583,291.6,0,58-37113,10612,N/A
2025-11-16T06:00:56.888187,78890,32.020996,35.842278,298.89,0,58-78890,10612,N/A
2025-11-16T06:00:56.888187,55857,31.945408,35.928703,0,1,58-55857,10643,N/A
2025-11-16T06:00:56.888187,11514,32.01765,35.866154,0,1,58-11514,10618,N/A
2025-11-16T06:00:56.888187,11526,31.947556,35.912125,64.69,1,58-11526,10643,N/A
2025-11-16T06:00:56.888187,11670,31.946018,35.91905,108.27,1,58-11670,10635,N/A
2025-11-16T06:00:56.888187,46750,31.988972,35.89447,318.1,1,58-46750,10625,N/A
2025-11-16T06:00:56.888187,40779,31.99914,36.015488,195.2,1,58-40779,10635,N/A
2025-11-16T06:01:46.663999,37113,32.020824,35.842583,291.6,0,58-37113,10612,N/A
2025-11-16T06:01:46.663999,78890,32.020996,35.842278,298.89,0,58-78890,10612,N/A
2025-11-16T06:01:46.663999,11535,31.946142,35.92388,252.04,1,58-11535,10636,N/A
2025-11-16T06:01:46.663999,55857,31.945406,35.9287,0,1,58-55857,10643,N/A
2025-11-16T06:01:46.663999,11514,32.01765,35.866154,0,1,58-11514,10618,N/A
2025-11-16T06:01:46.663999,11526,31.948109,35.9148,94.33,1,58-11526,10643,N/A
2025-11-16T06:01:46.663999,11670,31.945932,35.923397,68.64,1,58-11670,10635,N/A
2025-11-16T06:01:46.663999,46750,31.991722,35.891533,310.89,1,58-46750,10625,N/A
2025-11-16T06:01:46.663999,40779,31.99914,36.015488,195.2,1,58-40779,10635,N/A
2025-11-16T06:02:22.330488,37113,32.020824,35.842583,291.6,0,58-37113,10612,N/A
2025-11-16T06:02:22.330488,78890,32.020996,35.842278,298.89,0,58-78890,10612,N/A
2025-11-16T06:02:22.330488,55857,31.945404,35.9287,0,1,58-55857,10643,N/A
2025-11-16T06:02:22.330488,11514,32.01765,35.866154,0,1,58-11514,10618,N/A
2025-11-16T06:02:22.330488,11526,31.947762,35.915936,123.61,1,58-11526,10643,N/A
2025-11-16T06:02:22.330488,11670,31.946018,35.91905,108.27,1,58-11670,10635,N/A
2025-11-16T06:02:22.330488,46750,31.995274,35.885933,306.2,1,58-46750,10625,N/A
2025-11-16T06:02:22.330488,40779,31.99914,36.015488,195.2,1,58-40779,10635,N/A
2025-11-16T06:03:13.507518,37113,32.020824,35.842583,291.6,0,58-37113,10612,N/A
2025-11-16T06:03:13.507518,78890,32.020996,35.842278,298.89,0,58-78890,10612,N/A
2025-11-16T06:03:13.507518,11535,31.947613,35.916336,304.5,1,58-11535,10635,N/A
2025-11-16T06:03:13.507518,55857,31.945402,35.928696,0,1,58-55857,10643,N/A
2025-11-16T06:03:13.507518,11514,32.01765,35.866154,0,1,58-11514,10618,N/A
2025-11-16T06:03:13.507518,11526,31.945658,35.920578,105.52,1,58-11526,10643,N/A
2025-11-16T06:03:13.507518,11670,31.945932,35.923397,68.64,1,58-11670,10635,N/A
2025-11-16T06:03:13.507518,46750,31.997763,35.881966,306.7,1,58-46750,10625,N/A
