ping_time,route,busId,lat,lng,bearing,direction,plateNumber,status,velocity
2026-01-25T00:00:21.221328,99,75579,32.02079,35.84273,292.2,0,58-75579,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,15417,31.985855,35.897377,141,0,58-15417,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:00:21.221328,99,14102,31.948006,35.91558,121.2,0,58-14102,🟢 MOVING,16.51021269081423
2026-01-25T00:00:21.221328,99,32727,32.021618,35.842407,0,0,58-32727,🟢 MOVING,1.7952610957542174
2026-01-25T00:00:21.221328,99,11532,32.00028,36.015022,0,0,58-11532,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,49251,31.993746,35.92328,94.5,0,58-49251,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:00:21.221328,99,78890,32.00389,36.014793,169.4,0,58-78890,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,11493,31.999632,36.01412,0,0,58-11493,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,10996,32.020893,35.842518,291.07,0,58-10996,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,97599,32.021328,35.842896,62.9,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,56867,32.00036,36.01464,177.3,0,58-56867,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,11514,31.986662,35.97006,0,0,58-11514,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,65054,31.94509,35.92475,70.5,0,58-65054,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:00:21.221328,99,11688,32.020996,35.841827,273.8,0,58-11688,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,11020,32.02085,35.842606,269.33,0,58-11020,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,25354,32.02424,35.852062,72.59,0,58-25354,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:00:21.221328,99,73439,31.96464,35.884163,223.3,0,58-73439,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:00:21.221328,99,97202,31.945469,35.928642,29.2,1,58-97202,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,27279,31.983818,35.895634,49.5,1,58-27279,🟢 MOVING,6.780046213913089
2026-01-25T00:00:21.221328,99,22231,32.023426,35.85923,310.6,1,58-22231,🟢 MOVING,8.524400515460124
2026-01-25T00:00:21.221328,99,10972,32.00519,36.013386,101.7,1,58-10972,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,37113,31.999615,36.014866,198,1,58-37113,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,30702,32.00126,36.01402,196.8,1,58-30702,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,99496,31.945353,35.92853,30.3,1,58-99496,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,93341,31.945774,35.928677,317.3,1,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,63779,31.945932,35.923485,248.25,1,58-63779,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:00:21.221328,99,95602,31.999832,36.013477,167.9,1,58-95602,🛑 PARKED (EXTREME),0.0
2026-01-25T00:00:21.221328,99,45556,32.00183,36.014233,200.1,1,58-45556,🛑 PARKED (EXTREME),0.0
