ping_time,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-15T06:01:03.675726,45556,32.0208,35.842598,277.1,0,58-45556,10612,N/A
2025-11-15T06:01:03.675726,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:01:03.675726,84113,31.946272,35.926838,279.8,1,58-84113,10643,N/A
2025-11-15T06:01:03.675726,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:01:53.309521,45556,32.0208,35.842598,277.1,0,58-45556,10612,N/A
2025-11-15T06:01:53.309521,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:01:53.309521,84113,31.945992,35.923576,249.6,1,58-84113,10643,N/A
2025-11-15T06:01:53.309521,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:02:39.300474,45556,32.0208,35.842598,277.1,0,58-45556,10612,N/A
2025-11-15T06:02:39.300474,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:02:39.300474,84113,31.945507,35.92184,262.6,1,58-84113,10643,N/A
2025-11-15T06:02:39.300474,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:03:21.076066,45556,32.0208,35.842598,277.1,0,58-45556,10612,N/A
2025-11-15T06:03:21.076066,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:03:21.076066,63779,31.945581,35.92174,266.91,1,58-63779,10636,N/A
2025-11-15T06:03:21.076066,84113,31.946386,35.91829,304.1,1,58-84113,10643,N/A
2025-11-15T06:03:21.076066,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:04:07.202344,45556,32.0208,35.842598,277.1,0,58-45556,10612,N/A
2025-11-15T06:04:07.202344,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:04:07.202344,63779,31.94584,35.920204,0,1,58-63779,10636,N/A
2025-11-15T06:04:07.202344,84113,31.94797,35.915676,303.2,1,58-84113,10635,N/A
2025-11-15T06:04:07.202344,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:05:02.479566,45556,32.022274,35.8452,71.4,0,58-45556,10612,N/A
2025-11-15T06:05:02.479566,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:05:02.479566,63779,31.948044,35.915726,297.02,1,58-63779,10635,N/A
2025-11-15T06:05:02.479566,84113,31.948051,35.915535,302.89,1,58-84113,10635,N/A
2025-11-15T06:05:02.479566,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:05:38.053064,45556,32.023056,35.84812,73.3,0,58-45556,10613,N/A
2025-11-15T06:05:38.053064,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:05:38.053064,63779,31.948196,35.913746,256.37,1,58-63779,10635,N/A
2025-11-15T06:05:38.053064,84113,31.948223,35.91482,279,1,58-84113,10635,N/A
2025-11-15T06:05:38.053064,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:06:20.973041,45556,32.023666,35.850258,68.5,0,58-45556,10613,N/A
2025-11-15T06:06:20.973041,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:06:20.973041,11670,31.995619,35.885536,307.42,1,58-11670,10621,N/A
2025-11-15T06:06:20.973041,63779,31.945623,35.907284,0,1,58-63779,10635,N/A
2025-11-15T06:06:20.973041,84113,31.946976,35.910355,243.4,1,58-84113,10635,N/A
2025-11-15T06:06:20.973041,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:07:06.787870,45556,32.024628,35.85372,73.3,0,58-45556,10613,N/A
2025-11-15T06:07:06.787870,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:07:06.787870,11670,31.997437,35.882652,309.55,1,58-11670,10621,N/A
2025-11-15T06:07:06.787870,63779,31.945623,35.907284,0,1,58-63779,10635,N/A
2025-11-15T06:07:06.787870,84113,31.945452,35.907085,248,1,58-84113,10634,N/A
2025-11-15T06:07:06.787870,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:07:53.099154,45556,32.02471,35.854614,85.8,0,58-45556,11675,N/A
2025-11-15T06:07:53.099154,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:07:53.099154,11670,32.000134,35.878445,307.26,1,58-11670,10621,N/A
2025-11-15T06:07:53.099154,63779,31.946589,35.909527,63.5,1,58-63779,10635,N/A
2025-11-15T06:07:53.099154,84113,31.945602,35.906673,304.2,1,58-84113,10634,N/A
2025-11-15T06:07:53.099154,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:08:40.453293,11436,32.021275,35.842915,54.27,0,58-11436,10612,N/A
2025-11-15T06:08:40.453293,45556,32.0245,35.856754,105,0,58-45556,11675,N/A
2025-11-15T06:08:40.453293,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:08:40.453293,11547,31.946072,35.92395,255.9,1,58-11547,10636,N/A
2025-11-15T06:08:40.453293,11670,32.00562,35.873207,331.23,1,58-11670,10621,N/A
2025-11-15T06:08:40.453293,63779,31.947927,35.91291,71.39,1,58-63779,10635,N/A
2025-11-15T06:08:40.453293,84113,31.949364,35.902653,321.39,1,58-84113,10634,N/A
2025-11-15T06:08:40.453293,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:09:18.280899,11436,32.02297,35.847923,72.01,0,58-11436,10613,N/A
2025-11-15T06:09:18.280899,45556,32.023396,35.859245,130.4,0,58-45556,11675,N/A
2025-11-15T06:09:18.280899,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:09:18.280899,11547,31.946032,35.919067,284.1,1,58-11547,10636,N/A
2025-11-15T06:09:18.280899,11670,32.008522,35.871834,343.67,1,58-11670,10621,N/A
2025-11-15T06:09:18.280899,63779,31.94808,35.915375,112.6,1,58-63779,10635,N/A
2025-11-15T06:09:18.280899,84113,31.95153,35.899174,290.1,1,58-84113,10634,N/A
2025-11-15T06:09:18.280899,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:09:52.525990,11436,32.023518,35.84988,70.73,0,58-11436,10613,N/A
2025-11-15T06:09:52.525990,45556,32.023396,35.859245,130.4,0,58-45556,11675,N/A
2025-11-15T06:09:52.525990,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:09:52.525990,11547,31.947546,35.916306,303.06,1,58-11547,10635,N/A
2025-11-15T06:09:52.525990,11670,32.011875,35.87062,335.11,1,58-11670,10621,N/A
2025-11-15T06:09:52.525990,63779,31.946062,35.918827,112.89,1,58-63779,10635,N/A
2025-11-15T06:09:52.525990,84113,31.951729,35.895237,265.1,1,58-84113,10634,N/A
2025-11-15T06:09:52.525990,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:10:39.121644,11436,32.02465,35.854004,0,0,58-11436,10613,N/A
2025-11-15T06:10:39.121644,45556,32.01821,35.865334,139.1,0,58-45556,11671,N/A
2025-11-15T06:10:39.121644,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:10:39.121644,11547,31.947824,35.915947,0,1,58-11547,10635,N/A
2025-11-15T06:10:39.121644,11670,32.01812,35.865643,321.85,1,58-11670,10615,N/A
2025-11-15T06:10:39.121644,63779,31.945524,35.922146,78.45,1,58-63779,10635,N/A
2025-11-15T06:10:39.121644,84113,31.953157,35.88988,296,1,58-84113,10634,N/A
2025-11-15T06:10:39.121644,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
2025-11-15T06:11:21.047383,11436,32.02465,35.854004,0,0,58-11436,10613,N/A
2025-11-15T06:11:21.047383,45556,32.017693,35.86582,143.8,0,58-45556,11671,N/A
2025-11-15T06:11:21.047383,11550,31.9994,35.998344,0,0,58-11550,10625,N/A
2025-11-15T06:11:21.047383,11547,31.948217,35.913998,256.16,1,58-11547,10635,N/A
2025-11-15T06:11:21.047383,11670,32.01993,35.863605,315.3,1,58-11670,10615,N/A
2025-11-15T06:11:21.047383,63779,31.945524,35.922146,78.45,1,58-63779,10635,N/A
2025-11-15T06:11:21.047383,84113,31.955793,35.883163,302.39,1,58-84113,10634,N/A
2025-11-15T06:11:21.047383,25354,31.945688,35.922684,68,1,58-25354,10635,N/A
