ping_time,route,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-26T08:18:15.434883,98,11493,31.989128,35.944363,0,0,58-11493,11649,N/A
2025-11-26T08:18:15.434883,98,80072,31.998236,35.881226,311.5,0,58-80072,10620,N/A
2025-11-26T08:18:15.434883,98,76678,31.98984,35.943577,53.5,0,58-76678,11649,N/A
2025-11-26T08:18:15.434883,98,11427,32.018227,35.86527,0,0,58-11427,10615,N/A
2025-11-26T08:18:15.434883,98,25354,31.98737,35.901432,260.5,0,58-25354,11645,N/A
2025-11-26T08:18:15.434883,98,11008,32.02478,35.855373,0,0,58-11008,10615,N/A
2025-11-26T08:18:15.434883,98,11924,31.998352,35.88104,307.2,0,58-11924,10620,N/A
2025-11-26T08:18:15.434883,98,82779,31.99392,35.923218,273.8,0,58-82779,11647,N/A
2025-11-26T08:18:15.434883,98,11415,32.02306,35.84825,71.92,1,58-11415,10613,N/A
2025-11-26T08:18:15.434883,98,11005,32.02457,35.85367,73.48,1,58-11005,10612,N/A
2025-11-26T08:18:15.434883,98,11436,32.015938,35.867344,141.36,1,58-11436,11671,N/A
2025-11-26T08:18:15.434883,98,11020,31.998474,35.88067,127.29,1,58-11020,10620,N/A
2025-11-26T08:18:15.434883,98,11442,31.992836,35.889645,127.7,1,58-11442,10620,N/A
2025-11-26T08:18:15.434883,98,11029,31.99347,35.92751,94.69,1,58-11029,11646,N/A
2025-11-26T08:18:15.434883,98,52827,31.990156,35.9419,108.3,1,58-52827,11648,N/A
2025-11-26T08:18:15.434883,98,11496,31.98972,35.943462,6.6,1,58-11496,10625,N/A
2025-11-26T08:18:15.434883,99,59197,32.02079,35.84268,289,0,58-59197,10612,N/A
2025-11-26T08:18:15.434883,99,11541,32.0208,35.842762,283.54,0,58-11541,10612,N/A
2025-11-26T08:18:15.434883,99,75259,32.0208,35.842674,287.3,0,58-75259,10612,N/A
2025-11-26T08:18:15.434883,99,46750,32.0247,35.854176,82.7,0,58-46750,10613,N/A
2025-11-26T08:18:15.434883,99,11649,31.997458,35.882317,126.12,0,58-11649,10620,N/A
2025-11-26T08:18:15.434883,99,88302,32.001194,35.876705,133,0,58-88302,10619,N/A
2025-11-26T08:18:15.434883,99,11547,31.992903,35.88956,0,0,58-11547,10621,N/A
2025-11-26T08:18:15.434883,99,10984,31.992723,35.889713,0,0,58-10984,10620,N/A
2025-11-26T08:18:15.434883,99,11670,31.984488,35.896065,225.49,0,58-11670,10625,N/A
2025-11-26T08:18:15.434883,99,63779,31.977615,35.888657,0,0,58-63779,10626,N/A
2025-11-26T08:18:15.434883,99,45556,31.969362,35.886395,171.4,0,58-45556,10628,N/A
2025-11-26T08:18:15.434883,99,11526,31.964594,35.88406,0,0,58-11526,10629,N/A
2025-11-26T08:18:15.434883,99,11017,31.967,35.88693,0,0,58-11017,10640,N/A
2025-11-26T08:18:15.434883,99,29502,31.94542,35.92875,208,0,58-29502,10636,N/A
2025-11-26T08:18:15.434883,99,11721,31.94789,35.91559,124,0,58-11721,10635,N/A
2025-11-26T08:18:15.434883,99,11502,31.957085,35.880882,121.85,0,58-11502,10630,N/A
2025-11-26T08:18:15.434883,99,10978,31.94598,35.92789,107.08,0,58-10978,10636,N/A
2025-11-26T08:18:15.434883,99,73439,31.945902,35.928406,117.7,0,58-73439,10635,N/A
2025-11-26T08:18:15.434883,99,11688,31.945396,35.928593,0,1,58-11688,10643,N/A
2025-11-26T08:18:15.434883,99,37113,31.948149,35.914383,184.6,1,58-37113,10635,N/A
2025-11-26T08:18:15.434883,99,93341,31.951727,35.898373,282.1,1,58-93341,10634,N/A
2025-11-26T08:18:15.434883,99,55857,31.9586,35.879414,31.9,1,58-55857,10630,N/A
2025-11-26T08:18:15.434883,99,11532,31.968073,35.886726,347.4,1,58-11532,10630,N/A
2025-11-26T08:18:15.434883,99,30702,31.96428,35.883842,36.79,1,58-30702,10629,N/A
2025-11-26T08:18:15.434883,99,56302,31.976162,35.88768,25.5,1,58-56302,10627,N/A
2025-11-26T08:18:15.434883,99,11535,31.984964,35.897213,0,1,58-11535,10626,N/A
2025-11-26T08:18:15.434883,99,11514,31.985088,35.897396,0,1,58-11514,10626,N/A
2025-11-26T08:18:15.434883,99,78890,31.985058,35.89735,48,1,58-78890,10626,N/A
2025-11-26T08:18:15.434883,99,84113,31.985708,35.898205,313.3,1,58-84113,10625,N/A
2025-11-26T08:18:15.434883,99,24926,31.985893,35.898026,313.39,1,58-24926,10625,N/A
2025-11-26T08:18:15.434883,99,11652,31.98687,35.89673,317.33,1,58-11652,10625,N/A
2025-11-26T08:18:15.434883,99,11550,32.00497,35.873466,332.19,1,58-11550,10619,N/A
2025-11-26T08:18:15.434883,99,11364,32.005222,35.873287,0,1,58-11364,10619,N/A
2025-11-26T08:18:15.434883,99,11718,32.005318,35.873207,0,1,58-11718,10619,N/A
2025-11-26T08:18:15.434883,99,42113,32.02159,35.843807,186.9,1,58-42113,10614,N/A
2025-11-26T08:18:15.434883,99,66163,32.024776,35.85515,267.6,1,58-66163,10614,N/A
2025-11-26T08:18:15.434883,99,94951,32.019184,35.86472,136.9,1,58-94951,10613,N/A
2025-11-26T08:18:15.434883,99,11682,31.969013,35.88644,350.05,1,58-11682,10629,N/A
2025-11-26T08:18:15.434883,99,11490,31.954111,35.887493,0,1,58-11490,10632,N/A
2025-11-26T08:18:15.434883,100,93641,32.024254,35.852463,72.5,0,58-93641,10613,N/A
2025-11-26T08:18:15.434883,100,11715,32.022076,35.84283,0,0,58-11715,10612,N/A
2025-11-26T08:18:15.434883,100,16863,32.024467,35.853302,72.34,0,58-16863,10612,N/A
2025-11-26T08:18:15.434883,100,11508,32.024567,35.853703,0,0,58-11508,10612,N/A
2025-11-26T08:18:15.434883,100,48886,32.023766,35.85066,69.4,0,58-48886,10613,N/A
2025-11-26T08:18:15.434883,100,25856,32.018936,35.864605,136.9,0,58-25856,10616,N/A
2025-11-26T08:18:15.434883,100,11026,32.013733,35.869267,150.13,0,58-11026,10617,N/A
2025-11-26T08:18:15.434883,100,48286,32.01446,35.86876,143.8,0,58-48286,10617,N/A
2025-11-26T08:18:15.434883,100,40779,31.99966,35.87892,127,0,58-40779,10619,N/A
2025-11-26T08:18:15.434883,100,99781,32.010075,35.871162,163.9,0,58-99781,10618,N/A
2025-11-26T08:18:15.434883,100,10987,31.996296,35.884216,126.84,0,58-10987,10619,N/A
2025-11-26T08:18:15.434883,100,11520,31.991741,35.891285,129.22,0,58-11520,10622,N/A
2025-11-26T08:18:15.434883,100,50152,31.99361,35.888496,126.3,0,58-50152,10621,N/A
2025-11-26T08:18:15.434883,100,10993,31.98779,35.89559,138.4,0,58-10993,10622,N/A
2025-11-26T08:18:15.434883,100,95161,31.989496,35.94424,80.5,0,58-95161,11649,N/A
2025-11-26T08:18:15.434883,100,11023,31.993069,35.91842,72.86,0,58-11023,11645,N/A
2025-11-26T08:18:15.434883,100,98191,31.988365,35.943356,195.2,0,58-98191,11649,N/A
2025-11-26T08:18:15.434883,100,49451,31.960033,35.957108,300.39,0,58-49451,11652,N/A
2025-11-26T08:18:15.434883,100,70302,31.96082,35.957558,42.3,0,58-70302,11652,N/A
2025-11-26T08:18:15.434883,100,13015,31.961058,35.95831,0,0,58-13015,11653,N/A
2025-11-26T08:18:15.434883,100,49451,31.961369,35.95823,70.3,1,58-49451,11653,N/A
2025-11-26T08:18:15.434883,100,70302,31.961365,35.95831,95.1,1,58-70302,11653,N/A
2025-11-26T08:18:15.434883,100,21423,31.961357,35.958202,63,1,58-21423,11653,N/A
2025-11-26T08:18:15.434883,100,52302,31.961376,35.9583,79.3,1,58-52302,11653,N/A
2025-11-26T08:18:15.434883,100,10969,31.980707,35.940357,0,1,58-10969,11650,N/A
2025-11-26T08:18:15.434883,100,29224,31.961334,35.958267,78.09,1,58-29224,11653,N/A
