ping_time,route,busId,lat,lng,bearing,direction,plateNumber,status,velocity
2026-01-23T15:39:44.803824,99,11014,32.02082,35.84257,269,0,58-11014,🛑 PARKED (EXTREME),0.0
2026-01-23T15:39:44.803824,99,61004,32.018215,35.865402,137.1,0,58-61004,🟢 MOVING,0.12634674145941455
2026-01-23T15:39:44.803824,99,69779,31.985485,35.89778,135.8,0,58-69779,🟢 MOVING,1.3132928696801156
2026-01-23T15:39:44.803824,99,68570,31.980873,35.891945,230.1,0,58-68570,🟢 MOVING,8.886174470204084
2026-01-23T15:39:44.803824,99,25354,31.946274,35.908638,63.8,0,58-25354,🟢 MOVING,5.090061240480804
2026-01-23T15:39:44.803824,99,59779,31.946589,35.90942,64,0,58-59779,🟢 MOVING,6.881724354952525
2026-01-23T15:39:44.803824,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
2026-01-23T15:40:22.486868,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:40:22.486868,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:40:22.486868,99,11014,32.02082,35.84257,269,0,58-11014,🛑 PARKED (EXTREME),0.0
2026-01-23T15:40:22.486868,99,61004,32.015137,35.86815,143.3,0,58-61004,🟢 MOVING,11.25121029071278
2026-01-23T15:40:22.486868,99,69779,31.985355,35.897896,133.3,0,58-69779,🟢 MOVING,0.4751632700632392
2026-01-23T15:40:22.486868,99,68570,31.98021,35.891262,221.5,0,58-68570,🟢 MOVING,2.566076881096585
2026-01-23T15:40:22.486868,99,25354,31.948284,35.91466,93.3,0,58-25354,🟢 MOVING,16.003407080885097
2026-01-23T15:40:22.486868,99,59779,31.948261,35.914436,88.3,0,58-59779,🟢 MOVING,13.326975372923522
2026-01-23T15:40:22.486868,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
2026-01-23T15:43:37.441438,99,93341,32.02084,35.842712,295.1,0,58-93341,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,97599,32.020844,35.84271,274.5,0,58-97599,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,11014,32.021423,35.842712,210.9,0,58-11014,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,61004,31.998625,35.8807,126.4,0,58-61004,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,69779,31.972153,35.88632,184.6,0,58-69779,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,68570,31.97212,35.88626,181.9,0,58-68570,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,25354,31.94596,35.92332,65.4,0,58-25354,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,59779,31.94595,35.923412,67.3,0,58-59779,🆕 NEW,0.0
2026-01-23T15:43:37.441438,99,88230,31.99991,36.013805,326.39,0,58-88230,🆕 NEW,0.0
2026-01-23T15:44:12.134879,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:44:12.134879,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:44:12.134879,99,11014,32.021366,35.842712,175.9,0,58-11014,🟢 MOVING,0.18227796895698067
2026-01-23T15:44:12.134879,99,61004,31.995909,35.8849,126.6,0,58-61004,🟢 MOVING,14.324069363608194
2026-01-23T15:44:12.134879,99,69779,31.96952,35.886375,173.8,0,58-69779,🟢 MOVING,8.421284886873238
2026-01-23T15:44:12.134879,99,68570,31.968027,35.88672,168.5,0,58-68570,🟢 MOVING,13.14819049244298
2026-01-23T15:44:12.134879,99,25354,31.946402,35.925972,89.3,0,58-25354,🟢 MOVING,7.33377651209693
2026-01-23T15:44:12.134879,99,59779,31.94632,35.924965,84.5,0,58-59779,🟢 MOVING,4.377068084690548
2026-01-23T15:44:12.134879,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
